epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3771,2.0444,3.82248,1.70818,0.02216,0.16438,0.0171,0.00631,1.74524,3.68396,1.48721,4.287e-05,4.287e-05,4.287e-05
2,30.6092,1.83182,3.80006,1.54016,0.04157,0.25534,0.03969,0.0191,1.38257,3.67426,1.28813,9.90397e-05,9.90397e-05,9.90397e-05
3,44.8491,1.55491,3.59176,1.40071,0.0464,0.22672,0.05663,0.02773,1.22391,3.63815,1.18658,0.000154078,0.000154078,0.000154078
4,58.1334,1.44167,3.36595,1.30687,0.0477,0.24267,0.07793,0.04367,1.09192,3.53595,1.09786,0.000207984,0.000207984,0.000207984
5,71.5673,1.24739,3.02997,1.182,0.0569,0.37531,0.10853,0.0604,1.05339,3.43754,1.05838,0.000260758,0.000260758,0.000260758
6,84.7659,1.23311,2.62249,1.14349,0.06225,0.45841,0.12619,0.07289,1.04122,3.36531,1.04022,0.000312401,0.000312401,0.000312401
7,98.3945,1.19321,2.51278,1.13898,0.07882,0.54548,0.22458,0.138,0.96452,3.16665,1.00033,0.000362912,0.000362912,0.000362912
8,112.524,1.22583,2.28573,1.10714,0.08685,0.52366,0.25192,0.15799,0.95555,3.04254,0.98598,0.000412291,0.000412291,0.000412291
9,126.127,1.069,2.17604,1.07311,0.58453,0.21558,0.26459,0.17208,0.93114,2.90732,0.97199,0.000460538,0.000460538,0.000460538
10,139.903,1.03275,2.1732,1.03949,0.59823,0.17361,0.27837,0.18459,0.90637,2.71701,0.95759,0.000507654,0.000507654,0.000507654
11,153.419,1.06858,1.9475,1.06083,0.61037,0.23497,0.29189,0.19725,0.91111,2.50688,0.95615,0.000553637,0.000553637,0.000553637
12,166.153,0.99238,1.80007,1.03667,0.60261,0.28432,0.30057,0.2056,0.95094,2.29397,0.96476,0.000598489,0.000598489,0.000598489
13,179.309,1.08622,1.73282,1.0516,0.62613,0.32952,0.30484,0.21304,0.97299,2.14309,0.974,0.00064221,0.00064221,0.00064221
14,193.14,0.96629,1.56913,1.03447,0.61978,0.34539,0.32076,0.22992,0.93978,2.00067,0.97205,0.000684798,0.000684798,0.000684798
15,206.606,0.90482,1.51998,1.04011,0.63784,0.38484,0.34107,0.25017,0.92143,1.8872,0.96786,0.000726255,0.000726255,0.000726255
16,219.6,0.93587,1.4416,1.01192,0.63784,0.38484,0.34107,0.25017,0.92143,1.8872,0.96786,0.00076658,0.00076658,0.00076658
17,232.412,0.94307,1.29906,1.05481,0.67193,0.44734,0.37224,0.27519,0.88459,1.73515,0.95375,0.000805773,0.000805773,0.000805773
18,244.867,0.84755,1.28098,1.02058,0.71411,0.48344,0.46183,0.34666,0.89965,1.53525,0.9648,0.000843835,0.000843835,0.000843835
19,257.659,0.91915,1.25246,1.01881,0.71411,0.48344,0.46183,0.34666,0.89965,1.53525,0.9648,0.000880764,0.000880764,0.000880764
20,270.484,0.87919,1.09014,1.03559,0.78254,0.51154,0.54532,0.42192,0.84553,1.29183,0.95157,0.000916562,0.000916562,0.000916562
21,283.23,0.84591,1.15512,1.00427,0.88354,0.52961,0.59547,0.48526,0.7594,1.05655,0.93824,0.000951228,0.000951228,0.000951228
22,296.208,0.86883,0.95925,1.02023,0.88354,0.52961,0.59547,0.48526,0.7594,1.05655,0.93824,0.000984762,0.000984762,0.000984762
23,309.123,0.84255,0.97669,1.00119,0.87967,0.57715,0.61888,0.5038,0.7554,1.01176,0.94618,0.00101717,0.00101717,0.00101717
24,322.109,0.87097,0.99616,1.01179,0.87967,0.57715,0.61888,0.5038,0.7554,1.01176,0.94618,0.00104844,0.00104844,0.00104844
25,335.134,0.87825,0.9665,1.0589,0.85325,0.58699,0.62786,0.51251,0.7332,1.13672,0.93713,0.00107857,0.00107857,0.00107857
26,348.15,0.81888,0.93518,0.98668,0.85325,0.58699,0.62786,0.51251,0.7332,1.13672,0.93713,0.00107532,0.00107532,0.00107532
27,360.759,0.77323,0.91168,0.99399,0.86193,0.59042,0.63562,0.5233,0.71264,1.20181,0.93643,0.00106118,0.00106118,0.00106118
28,373.64,0.84588,0.95044,1.04416,0.86193,0.59042,0.63562,0.5233,0.71264,1.20181,0.93643,0.00104703,0.00104703,0.00104703
29,386.41,0.80668,0.88104,0.9972,0.88619,0.59521,0.63843,0.52874,0.67216,1.1591,0.92778,0.00103288,0.00103288,0.00103288
30,399.26,0.78127,0.83366,0.98742,0.88619,0.59521,0.63843,0.52874,0.67216,1.1591,0.92778,0.00101873,0.00101873,0.00101873
31,412.067,0.72088,0.83215,0.98004,0.89865,0.62033,0.64285,0.53895,0.66005,1.03204,0.93098,0.00100459,0.00100459,0.00100459
